family,sigma,relative,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,n_iters,grid_size,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g
gan,,,0.7608208162146168,1.267341903399494,2.1561237140519314,1.0,0.5643274922461263,,41.4,,,,8.0,300.0,32.0,32x64x32,16x8,0.0005,1.0
gan,,,0.084894440706898,0.3249265919991169,0.9572401469721445,1.0,1.0910371435457205,,285.8,,,,64.0,800.0,128.0,128x128,128x64,2e-05,3.0
gan,,,0.13336698142223213,0.4897587403634625,1.8026148144166336,1.0,0.8260852292233929,,74.6,,,,8.0,300.0,64.0,16x32x16,64x32,5e-05,2.0
gan,,,0.16404279639977393,0.4468056609560599,1.1187178008770196,1.0,0.5175247772894556,,173.2,,,,16.0,500.0,64.0,64x64,16x8,0.0005,3.0
gan,,,0.31794724803201013,0.6762123966637292,1.3785963668524521,1.0,0.4806492151670648,,157.7,,,,64.0,1200.0,32.0,64x64,64x32,0.0003,1.0
gan,,,0.22839026211255098,0.5796127840881145,1.7352886296413255,1.0,0.840916195771951,,73.8,,,,8.0,300.0,128.0,32x32,64x32,0.0005,2.0
gan,,,0.23232061907460588,0.6340384470724472,1.0286869775268406,1.0,0.39803623500788915,,101.6,,,,16.0,300.0,32.0,32x32,16x8,0.001,3.0
gan,,,0.4487747370652867,1.2602076909329045,2.5473631871571367,1.0,1.0919760687349653,,41.5,,,,4.0,300.0,32.0,128x128,64x32,0.0003,1.0
gan,,,0.21574594694426763,0.6155708871395367,2.054154468065315,1.0,0.8749007004505518,,118.3,,,,8.0,500.0,64.0,32x32,16x8,0.0003,2.0
gan,,,0.06229920683237511,0.34106138901506894,1.958002150899255,1.0,0.6960956571276868,,269.6,,,,16.0,800.0,32.0,64x64,32x16,0.001,3.0
gan,,,0.187645390120331,0.5882488389428079,1.3704414382499093,1.0,0.14086644284892083,,41.0,,,,8.0,300.0,32.0,128x128,128x64,0.001,1.0
gan,,,0.6069234843175645,2.1255674754290386,1.798055841246364,1.0,1.0097811891248452,,67.8,,,,64.0,500.0,32.0,64x128x64,16x8,5e-05,1.0
gan,,,1.0794009920763143,1.2505904843797118,3.4116741736611558,1.0,0.1653166765023997,,228.1,,,,4.0,1500.0,256.0,32x64x32,16x8,0.001,1.0
gan,,,0.13753476604131398,0.4810977562848505,1.0552240362339769,1.0,0.9291327357368324,,301.5,,,,32.0,1200.0,128.0,16x32x16,64x32,0.001,2.0
gan,,,0.3898202162280862,1.8489857418700208,1.7816479842844162,1.0,1.8809329865338793,,43.7,,,,64.0,300.0,256.0,64x64,64x32,0.0001,1.0
gan,,,0.624541693762082,0.9850565927155703,2.6338282624229947,1.0,0.4409245541643262,,113.9,,,,8.0,800.0,256.0,64x64,64x64,0.0005,1.0
gan,,,0.6563886126489773,1.5128551086420825,2.0500303944614773,1.0,0.7180370686873897,,43.8,,,,16.0,300.0,128.0,64x128x64,64x32,0.0001,1.0
gan,,,0.28999306692088955,0.8448741010694618,1.6927745549268258,1.0,0.9088275273139536,,267.9,,,,8.0,800.0,32.0,64x128x64,64x64,2e-05,3.0
