family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
cnn,0.2,0.01,0.0001,128,,0.395374854405721,0.395374854405721,0.3991560935974121,399.0,400.0,1.0,0.9905262367888401,16609.0,0.004112181961947694,144.8,8x16,64.0,False,3.0,,
rnn,0.3,0.001,3e-05,128,,0.17360504468282065,0.17360504468282065,0.1764895816644033,399.0,400.0,1.0,0.9836558051740005,133209.0,0.001078226530179252,743.1,,32.0,,,64x128,0.3
dense,0.2,0.001,5e-05,128,8,0.022324209411938984,0.022324209411938984,0.024637547011176746,399.0,400.0,1.0,0.9061352678641431,24233.0,3.4623121664361356e-05,132.8,,,,,,
cnn,0.6,0.1,0.001,128,,0.011912005332609018,0.011912005332609018,0.014649185662468275,399.0,400.0,1.0,0.8131455691048192,4433.0,0.00010260438804431731,144.1,8x16,8.0,False,5.0,,
rnn,0.4,0.1,0.0001,16,,0.011514922293523947,0.011515118181705475,0.014244907225171724,398.3333333333333,400.0,1.0000170088849136,0.8083536169076208,133209.0,3.150627288428421e-06,2602.1,,32.0,,,64x128,0.1
dense,0.2,0.0,0.0005,128,16x8,0.011490892308453718,0.011614846686522165,0.014037403898934523,32.0,73.0,1.0107992130769468,0.8188194205442877,48377.0,3.4303393231694745e-05,40.4,,,,,,
cnn,0.1,0.01,0.0005,128,,0.015882931649684906,0.015882931649684906,0.018644609798987705,399.0,400.0,1.0,0.8518437035711127,24889.0,0.0003464639641290827,154.9,16x32x64,8.0,False,7.0,,
rnn,0.0,0.0,0.0005,64,,0.01150765921920538,0.011601985121766726,0.01424169292052587,3.6666666666666665,44.666666666666664,1.0081955880616895,0.8080267113330856,16473.0,3.696948394671187e-06,74.9,,64.0,,,32x16,0.3
dense,0.4,0.01,0.0005,32,8,0.011514636067052683,0.011515700568755468,0.014246963274975618,302.6666666666667,343.6666666666667,1.0000924488525438,0.8082168661044173,24233.0,3.332866667848152e-06,135.9,,,,,,
cnn,0.1,0.01,0.001,128,,0.01151148167749246,0.011514701570073763,0.014242862351238728,368.0,389.6666666666667,1.0002797106521166,0.8082281065318347,134745.0,8.893376395610751e-07,162.5,64,64.0,False,7.0,,
rnn,0.1,0.001,0.0001,128,,0.058786445607741676,0.058786445607741676,0.061659347265958786,399.0,400.0,1.0,0.9534044952764481,133209.0,0.00045594838346247685,745.4,,32.0,,,64x128,0.1
dense,0.6,0.0,0.0001,16,64,0.01155390776693821,0.011667822487652302,0.014013501505057016,18.666666666666668,59.666666666666664,1.0098637081775486,0.8245894484758619,193689.0,3.155791620523716e-05,45.9,,,,,,
cnn,0.0,0.0001,5e-05,32,,0.01326416339725256,0.01326416339725256,0.015346350458761057,399.0,400.0,1.0,0.864616127620259,12985.0,0.0005976791384734483,190.0,16x32x64,8.0,False,3.0,,
rnn,0.2,0.0,0.0001,32,,0.011509515345096588,0.011525648025174936,0.014286530204117298,10.666666666666666,51.666666666666664,1.0014018097160209,0.8056292255623432,138137.0,5.742958877716501e-06,226.4,,64.0,,,64x128,0.3
dense,0.3,0.01,0.0001,32,64,0.013528885940710703,0.013528885940710703,0.016247740015387535,399.0,400.0,1.0,0.8326575007123863,193689.0,0.0001130376844984666,171.3,,,,,,
cnn,0.2,0.1,0.0005,16,,0.011516145740946135,0.011518043155471483,0.014257308406134447,217.66666666666666,258.6666666666667,1.0001647679536256,0.8077363105909824,3025.0,3.024133946543599e-06,144.0,8x16,8.0,True,5.0,,
rnn,0.0,0.001,0.001,64,,0.011512769075731436,0.011516135496397814,0.014245487128694853,283.0,324.0,1.0002924148860064,0.8081695568678068,30185.0,3.474819358083172e-06,310.5,,8.0,,,64,0.1
dense,0.2,0.0001,5e-05,128,32,0.017659473543365795,0.017660266409317654,0.017195124179124832,398.0,400.0,1.0000456057714264,1.0272735037697647,96857.0,0.00030145596545078573,143.5,,,,,,
cnn,0.1,0.0001,0.0001,128,,0.01540155274172624,0.01540155274172624,0.017355553184946377,399.0,400.0,1.0,0.8876767549408275,11625.0,0.00013796799398281488,146.9,16,16.0,False,5.0,,
rnn,0.6,0.01,3e-05,32,,0.26575987537701923,0.26575987537701923,0.26902903119723004,399.0,400.0,1.0,0.987847069943348,5313.0,0.003694944704255561,373.4,,100.0,,,8,0.1
dense,0.5,1e-05,0.0001,128,64x32,0.013072566439708075,0.013079932580391565,0.013664172341426214,393.0,400.0,1.0005618485837617,0.9575784812083489,194969.0,0.00011857813845960529,149.1,,,,,,
cnn,0.2,0.0001,0.0001,16,,0.013736123219132423,0.013927094948788485,0.014056575174132982,167.66666666666666,208.66666666666666,1.0139023035928314,0.9773848392539134,12969.0,0.00028006198963941676,116.2,16,16.0,False,7.0,,
